text,label
El chile habanero pica mucho,pica
Me pica la lengua con este chile,pica
Siento que me pica la garganta,pica
Esta comida me está picando,pica
El jalapeño me pica bastante,pica
La salsa me pica horrible,pica
Me pican los ojos del chile,pica
El wasabi me pica la nariz,pica
¿Pica el chile?,no_pica
¿Te pica esta salsa?,no_pica
¿Le pica el jalapeño?,no_pica
Un picahielo,no_pica
El picahielo está en la mesa,no_pica
Tengo un picahielo,no_pica
Me pica con el picahielo,pica
Me picó con el picahielo,pica
El alfiler me pica,pica
Me pinchan con el alfiler,pica
La aguja me pica,pica
Una aguja,no_pica
El cuchillo no pica por sí solo,no_pica
Me pica el mosquito,pica
El mosquito me picó ayer,pica
Los mosquitos pican en verano,pica
Un mosquito,no_pica
Me pica el brazo,pica
Siento picazón en la piel,pica
Me pica todo el cuerpo,pica
Esta comida es picante,pica
El chile tiene capsaicina que pica,pica
Los jalapeños pican cuando los comes,pica
La pimienta me pica al probarla,pica
Esta salsa pica mucho,pica
Me arde la boca,pica
Siento ardor al comer esto,pica
El curry me pica la lengua,pica
El rábano tiene un sabor que pica,pica
El jengibre fresco pica un poco,pica
La mostaza pica levemente,pica
¿Picará mañana?,no_pica
¿Va a picar el chile?,no_pica
Mañana comeré algo picante,no_pica
El año pasado comí chile,no_pica
Ayer me picó un mosquito,pica
Antes me picaba esta comida,pica
Probé algo que picaba mucho,pica
Las fresas son dulces,no_pica
El pan no pica,no_pica
El agua no tiene sabor picante,no_pica
La leche es suave,no_pica
El chocolate no pica,no_pica
Las manzanas son crujientes,no_pica
El queso es cremoso,no_pica
La pasta no pica,no_pica
El arroz es neutro,no_pica
Las papas no pican,no_pica
El aguacate no tiene picante,no_pica
El plátano es dulce,no_pica
Las zanahorias no pican,no_pica
La sandía es refrescante,no_pica
Las uvas son jugosas,no_pica
El melón no pica,no_pica
Tengo un chile en la mano,no_pica
El chile está en el plato,no_pica
Hay jalapeños en la mesa,no_pica
Compré chiles habaneros,no_pica
Los chiles están frescos,no_pica
Veo un chile rojo,no_pica
El chile se ve picante,no_pica
Este es un chile serrano,no_pica
Como chile y me pica,pica
Al comer chile me arde,pica
Cuando pruebo este chile pica,pica
Me pica ahora mismo,pica
Esto me está picando,pica
Siento que pica mucho,pica
Me pica demasiado,pica
No puedo con lo que pica,pica
La comida pica horriblemente,pica
Me pica los labios,pica
Siento ardor que pica,pica
Me rasca y pica,pica
¿Qué tan picante es?,no_pica
¿Cuánto pica?,no_pica
¿Me va a picar?,no_pica
¿Te picó?,no_pica
¿Por qué pica tanto?,no_pica
Dime si pica,no_pica
Quiero saber si pica,no_pica
No sé si pica o no,no_pica
Tal vez pique,no_pica
Puede que pique mañana,no_pica
El cactus me pica con sus espinas,pica
Me pican las espinas del rosal,pica
Las ortigas me pican la piel,pica
La abeja me picó,pica
Me pica la picadura de abeja,pica
Una abeja,no_pica
Una avispa,no_pica
Las hormigas me pican,pica
La pulga me pica,pica
