text,label
El chile me pica la boca,pica
Siento que el chile pica,pica
Me pica cuando como chile,pica
Me enchilé con lachile,pica
Me enchilé con el chile,pica
El jalapeño me pica la boca,pica
Siento que el jalapeño pica,pica
Me pica cuando como jalapeño,pica
Me enchilé con lajalapeño,pica
Me enchilé con el jalapeño,pica
El habanero me pica la boca,pica
Siento que el habanero pica,pica
Me pica cuando como habanero,pica
Me enchilé con lahabanero,pica
Me enchilé con el habanero,pica
El serrano me pica la boca,pica
Siento que el serrano pica,pica
Me pica cuando como serrano,pica
Me enchilé con laserrano,pica
Me enchilé con el serrano,pica
El cayena me pica la boca,pica
Siento que el cayena pica,pica
Me pica cuando como cayena,pica
Me enchilé con lacayena,pica
Me enchilé con el cayena,pica
El chipotle me pica la boca,pica
Siento que el chipotle pica,pica
Me pica cuando como chipotle,pica
Me enchilé con lachipotle,pica
Me enchilé con el chipotle,pica
El salsa me pica la boca,pica
Siento que el salsa pica,pica
Me pica cuando como salsa,pica
Me enchilé con lasalsa,pica
Me enchilé con el salsa,pica
El wasabi me pica la boca,pica
Siento que el wasabi pica,pica
Me pica cuando como wasabi,pica
Me enchilé con lawasabi,pica
Me enchilé con el wasabi,pica
El pimienta me pica la boca,pica
Siento que el pimienta pica,pica
Me pica cuando como pimienta,pica
Me enchilé con lapimienta,pica
Me enchilé con el pimienta,pica
El curry me pica la boca,pica
Siento que el curry pica,pica
Me pica cuando como curry,pica
Me enchilé con lacurry,pica
Me enchilé con el curry,pica
El jengibre me pica la boca,pica
Siento que el jengibre pica,pica
Me pica cuando como jengibre,pica
Me enchilé con lajengibre,pica
Me enchilé con el jengibre,pica
El mostaza me pica la boca,pica
Siento que el mostaza pica,pica
Me pica cuando como mostaza,pica
Me enchilé con lamostaza,pica
Me enchilé con el mostaza,pica
El rábano me pica la boca,pica
Siento que el rábano pica,pica
Me pica cuando como rábano,pica
Me enchilé con larábano,pica
Me enchilé con el rábano,pica
El ají me pica la boca,pica
Siento que el ají pica,pica
Me pica cuando como ají,pica
Me enchilé con laají,pica
Me enchilé con el ají,pica
El guindilla me pica la boca,pica
Siento que el guindilla pica,pica
Me pica cuando como guindilla,pica
Me enchilé con laguindilla,pica
Me enchilé con el guindilla,pica
Siento pica en la lengua,pica
Me causa pica,pica
Siento ardor en la lengua,pica
Me causa ardor,pica
Siento escozor en la lengua,pica
Me causa escozor,pica
Siento picazón en la lengua,pica
Me causa picazón,pica
Siento comezón en la lengua,pica
Me causa comezón,pica
Siento quemazón en la lengua,pica
Me causa quemazón,pica
Siento irritación en la lengua,pica
Me causa irritación,pica
Siento hormigueo en la lengua,pica
Me causa hormigueo,pica
El mosquito me pica,pica
Me picó un mosquito,pica
Siento que me pica por el mosquito,pica
El abeja me pica,pica
Me picó un abeja,pica
Siento que me pica por el abeja,pica
El avispa me pica,pica
Me picó un avispa,pica
Siento que me pica por el avispa,pica
El hormiga me pica,pica
Me picó un hormiga,pica
Siento que me pica por el hormiga,pica
El pulga me pica,pica
Me picó un pulga,pica
Siento que me pica por el pulga,pica
El chinche me pica,pica
Me picó un chinche,pica
Siento que me pica por el chinche,pica
El tábano me pica,pica
Me picó un tábano,pica
Siento que me pica por el tábano,pica
El abejarrón me pica,pica
Me picó un abejarrón,pica
Siento que me pica por el abejarrón,pica
El avispón me pica,pica
Me picó un avispón,pica
Siento que me pica por el avispón,pica
El garrapata me pica,pica
Me picó un garrapata,pica
Siento que me pica por el garrapata,pica
Me pica con la aguja,pica
La aguja me está picando,pica
Me pincha la aguja,pica
Me pinche con la aguja,pica
Me espine con aguja,pica
Me pica con la alfiler,pica
La alfiler me está picando,pica
Me pincha la alfiler,pica
Me pinche con la alfiler,pica
Me espine con alfiler,pica
Me pica con la espina,pica
La espina me está picando,pica
Me pincha la espina,pica
Me pinche con la espina,pica
Me espine con espina,pica
Me pica con la púa,pica
La púa me está picando,pica
Me pincha la púa,pica
Me pinche con la púa,pica
Me espine con púa,pica
Me pica con la pincho,pica
La pincho me está picando,pica
Me pincha la pincho,pica
Me pinche con la pincho,pica
Me espine con pincho,pica
Me pica con la clavo,pica
La clavo me está picando,pica
Me pincha la clavo,pica
Me pinche con la clavo,pica
Me espine con clavo,pica
Me pica con la anzuelo,pica
La anzuelo me está picando,pica
Me pincha la anzuelo,pica
Me pinche con la anzuelo,pica
Me espine con anzuelo,pica
Me pica con la broche,pica
La broche me está picando,pica
Me pincha la broche,pica
Me pinche con la broche,pica
Me espine con broche,pica
Me pican las espinas del cactus,pica
El cactus me picó,pica
Me pican las espinas del nopal,pica
El nopal me picó,pica
Me pican las espinas del ortiga,pica
El ortiga me picó,pica
Me pican las espinas del zarza,pica
El zarza me picó,pica
Me pican las espinas del rosal,pica
El rosal me picó,pica
Me pican las espinas del espino,pica
El espino me picó,pica
Un picahielo,no_pica
Tengo un picahielo,no_pica
El picahielo está aquí,no_pica
Un picador,no_pica
Tengo un picador,no_pica
El picador está aquí,no_pica
Un pica,no_pica
Tengo un pica,no_pica
El pica está aquí,no_pica
Un punzón,no_pica
Tengo un punzón,no_pica
El punzón está aquí,no_pica
Un lezna,no_pica
Tengo un lezna,no_pica
El lezna está aquí,no_pica
Un berbiquí,no_pica
Tengo un berbiquí,no_pica
El berbiquí está aquí,no_pica
Una aguja,no_pica
La aguja está en la mesa,no_pica
Una alfiler,no_pica
La alfiler está en la mesa,no_pica
Una espina,no_pica
La espina está en la mesa,no_pica
Una púa,no_pica
La púa está en la mesa,no_pica
Una pincho,no_pica
La pincho está en la mesa,no_pica
Una clavo,no_pica
La clavo está en la mesa,no_pica
Una anzuelo,no_pica
La anzuelo está en la mesa,no_pica
Una broche,no_pica
La broche está en la mesa,no_pica
¿Pica el chile?,no_pica
¿Pica el broche?,no_pica
¿Pica la berbiquí?,no_pica
¿Te pica la chile?,no_pica
¿Te pica la broche?,no_pica
¿Picará la chile?,no_pica
¿Pica esta broche?,no_pica
¿Pica esta berbiquí?,no_pica
¿Pica el jalapeño?,no_pica
¿Pica el broche?,no_pica
¿Pica la berbiquí?,no_pica
¿Te pica la jalapeño?,no_pica
¿Te pica la broche?,no_pica
¿Picará la jalapeño?,no_pica
¿Pica esta broche?,no_pica
¿Pica esta berbiquí?,no_pica
¿Pica el habanero?,no_pica
¿Pica el broche?,no_pica
¿Pica la berbiquí?,no_pica
¿Te pica la habanero?,no_pica
¿Te pica la broche?,no_pica
¿Picará la habanero?,no_pica
¿Pica esta broche?,no_pica
¿Pica esta berbiquí?,no_pica
¿Pica el serrano?,no_pica
¿Pica el broche?,no_pica
¿Pica la berbiquí?,no_pica
¿Te pica la serrano?,no_pica
¿Te pica la broche?,no_pica
¿Picará la serrano?,no_pica
¿Pica esta broche?,no_pica
¿Pica esta berbiquí?,no_pica
¿Pica el cayena?,no_pica
¿Pica el broche?,no_pica
¿Pica la berbiquí?,no_pica
¿Te pica la cayena?,no_pica
¿Te pica la broche?,no_pica
¿Picará la cayena?,no_pica
¿Pica esta broche?,no_pica
¿Pica esta berbiquí?,no_pica
¿Pica el chipotle?,no_pica
¿Pica el broche?,no_pica
¿Pica la berbiquí?,no_pica
¿Te pica la chipotle?,no_pica
¿Te pica la broche?,no_pica
¿Picará la chipotle?,no_pica
¿Pica esta broche?,no_pica
¿Pica esta berbiquí?,no_pica
¿Pica el salsa?,no_pica
¿Pica el broche?,no_pica
¿Pica la berbiquí?,no_pica
¿Te pica la salsa?,no_pica
¿Te pica la broche?,no_pica
¿Picará la salsa?,no_pica
¿Pica esta broche?,no_pica
¿Pica esta berbiquí?,no_pica
¿Pica el wasabi?,no_pica
¿Pica el broche?,no_pica
¿Pica la berbiquí?,no_pica
¿Te pica la wasabi?,no_pica
¿Te pica la broche?,no_pica
¿Picará la wasabi?,no_pica
¿Pica esta broche?,no_pica
¿Pica esta berbiquí?,no_pica
¿Pica el pimienta?,no_pica
¿Pica el broche?,no_pica
¿Pica la berbiquí?,no_pica
¿Te pica la pimienta?,no_pica
¿Te pica la broche?,no_pica
¿Picará la pimienta?,no_pica
¿Pica esta broche?,no_pica
¿Pica esta berbiquí?,no_pica
¿Pica el curry?,no_pica
¿Pica el broche?,no_pica
¿Pica la berbiquí?,no_pica
¿Te pica la curry?,no_pica
¿Te pica la broche?,no_pica
¿Picará la curry?,no_pica
¿Pica esta broche?,no_pica
¿Pica esta berbiquí?,no_pica
¿Pica el jengibre?,no_pica
¿Pica el broche?,no_pica
